X,Y,ID,NUM_TAV,NUMERO_UTE,COMUNE,VIA1_NOME,VIA1_CAMPO,INCROCIO,VIA2_NOME,VIA2_CAMPO,NOTE,CONSERVAZI,TUTTA_NOTT,REGOLATORE,DIFFERENZI,PROTEZIONE,TIPO_ACCEN,TELESEGNAL,MONOFASE,TRIFASE,CLASSEII,PORTATA,Long,Lat
18.1517990382591,40.3700683469521,195,25,734 111 341,Lecce,VIA,DE ROMA GIUSEPPE,,,,,Adeguato,SI,SMHT 6K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,9,2787612.74044999990,4473679.80975000000
18.1552023725379,40.3693331417957,196,25,891 523 653,Lecce,VIA,GIOVANNI FALCONE,,,,,Adeguato,SI,SMHT 6K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,9,2787904.67249999990,4473608.49543000010
18.1584126111145,40.372146253543,197,25,734 691 071,Lecce,VIA,SALSO,,,,CIVICO 9,Adeguato,SI,SMHT 6K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,9,2788166.13148000000,4473930.56840000020
18.1601622038905,40.3734494741957,198,25,734 694 461,Lecce,VIA,SAN NICOLA,incrocio,VIA,SANGRO,CIVICO 68,Adeguato,SI,STB16,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,25,2788309.53091000020,4474080.57442000040
18.1626125511266,40.3724804101331,199,25,734 694 452,Lecce,VIA,TAGLIAMENTO,angolo,VIA,TICINO,,Adeguato,SI,STB16,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,25,2788521.45972999980,4473980.42576999960
18.1695933495713,40.3746876568011,200,25,734 571 679,Lecce,VIA,SESIA,,,,,Adeguato,SI,SMHT 3K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,"4,5",2789105.47123999990,4474246.73300000000
18.1599127857693,40.3689684486165,201,25,734 694 444,Lecce,VIA,SAN NICOLA,angolo,VIA,SINNI,,Adeguato,SI,STB21,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,32,2788306.14208000010,4473582.29774999990
18.1682928124483,40.3692424849125,202,25,734 567 353,Lecce,VIA,SANDALO,,,,CIVICO 2,Adeguato,SI,STB16,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,25,2789016.71149000010,4473638.20493999960
18.1720675111398,40.3681676854849,203,25,891 566 905,Lecce,VIA,BELICE,angolo,VIA,CLITUMNO,,Adeguato,SI,SMHT 6K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,9,2789341.55425000000,4473530.37193000040
18.1747793674965,40.3723045272515,204,25,734 111 490,Lecce,VIA,PAGANO VITTORIO,,,,,Adeguato,SI,STB26,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,40,2789555.35556000010,4473997.94847999980
18.1821323183451,40.3689557767658,205,26,891 566 948,Lecce,VIA,BRUNO LUCREZI,,,,TRAVERSA DI VIA BORMIDA,Adeguato,SI,SMHT 10K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,16,2790193.15280999990,4473648.60271999980
18.1864235430474,40.3706341864779,206,26,703 293 433,Lecce,VIA VECCHIA,FRIGOLE,,,,CIVICO 128,Adeguato,SI,STB11,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,17,2790550.85967000020,4473848.08579999950
18.1895585120979,40.3711178427072,208,26,891 397 119,Lecce,VIA,CUTULI MARIA GRAZIA,,,,VECCHIA FRIGOLE IL PARCO,Adeguato,SI,STB11,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,17,2790766.61937000000,4473900.32235999960
18.2033251901929,40.3681757762395,209,26,732 306 072,Lecce,VIA,PISTOIA,,,,,Adeguato,SI,STB45,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,68,2791996.07109000020,4473627.02675000020
18.1446758397997,40.3621197794047,210,25,732 353 275,Lecce,VIA,FRAN. ANTONIO D'ASTORE,,,,,Adeguato,SI,STB16,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,25,2787039.22826999980,4472775.74796999990
18.1499899851751,40.3612251120913,211,25,732 503 765,Lecce,VIA,GALLO ANTONIO CONIGLIO,,,,,Adeguato,SI,,NO,SI,Interruttore Crepuscolare,Assente,,SI,SI,32,2787494.10841999990,4472692.48756999990
18.1524129339663,40.3613991744774,212,25,895 517 577,Lecce,VIA,TARANTO,,,,CIVICO 176,Adeguato,SI,STB16,SI,SI,Programmatore Elettronico,Assente,,SI,SI,25,2787699.20735999990,4472719.15043000040
18.1515180426018,40.3591487975564,213,25,740 675 605,Lecce,VIA,ESTRAFALLACES E.,angolo,VIA,DORSO GUIDO,,Adeguato,SI,SMHT 10K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,16,2787632.11071000020,4472466.58574000000
18.15473425582,40.3571768032123,214,25,734 660 981,Lecce,VIALE,DELLA REPUBBLICA,,,,,Adeguato,SI,STB36,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,53,2787913.09626000000,4472257.38482000030
18.1549868095051,40.3591148258667,215,25,734 699 179,Lecce,VIA,GIDIULI ANTONIO,,,,,Adeguato,SI,STB16,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,25,2787926.86719000010,4472473.32469999980
18.1549834764113,40.3549770160586,216,25,734 682 942,Lecce,VIA,PERSANO VINCENZO,,,,,Adeguato,SI,STB45,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,68,2787942.98210000010,4472013.90307999960
18.1540666455824,40.367373914105,217,25,734 112 500,Lecce,VIA,PICCINNO ALDO,,,,,Adeguato,SI,SMHT 6K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,9,2788086.51932000000,4473008.41676000040
18.1581131716501,40.3615123334707,218,25,734 696 820,Lecce,VIA VECCHIA,SURBO,angolo,VIA,FRA' NICOLO' DA LEQUILE,,Adeguato,SI,STB26,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,40,2788182.89561000000,4472748.99785999950
18.1580586383359,40.3587008602101,219,25,732 353 283,Lecce,VIA,SILVIO PELLICO,angolo,VIA,EINAUDI LUIGI,,Adeguato,SI,STB16,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,25,2788189.41732000000,4472436.68068000020
18.1628867289651,40.3668765991233,220,25,895 673 978,Lecce,VIA,DEI BIZAMANO,,,,,Adeguato,SI,,SI,SI,Interruttore Crepuscolare,Assente,SI,,SI,9,2788567.01193000000,4473359.07914999970
18.1601648844165,40.3567467500965,221,25,734 664 782,Lecce,VIA,CAV. ORDINE VIT. VENETO,,,,,Adeguato,SI,STB16,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,32,2788376.07090999980,4472226.11417000000
18.1632222902747,40.3563595994048,222,25,734 710 270,Lecce,VIA,ROSMINI ANTONIO,,,,,Adeguato,SI,STB16,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,25,2788637.30140999980,4472192.41868999970
18.159733668955,40.3561907292906,223,25,732 224 297,Lecce,VIA,POZZUOLO,angolo,VIA,BONIFACIO BERNARDINO,,Adeguato,SI,SMHT 10K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,16,2788341.65081000000,4472163.07101999970
18.1582465638978,40.3558593717714,224,25,734 682 497,Lecce,VIA,VANINI GIULIO CESARE,,,,,Adeguato,SI,STB16,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,25,2788216.65146999990,4472121.76690000020
18.1605737819322,40.355273607382,225,25,734 664 766,Lecce,VIA,SOZY CARAFA ALFONZO,,,,,Da Revisionare,NO,SMHT 3K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,"4,5",2788416.65040999980,4472063.79619000010
18.1672696499708,40.3672721279773,226,25,734 688 657,Lecce,VIA,DE MARCO CARLO,,,,,Adeguato,SI,STB21,NO,SI,Astronomico - Crepuscolare,Assente,,SI,SI,32,2788937.66213000010,4473416.32522000000
18.1677905225645,40.3671893182682,227,25,894 301 414,Lecce,VIA,SALVATORE DI GIACOMO,,,,,Adeguato,SI,,SI,SI,Crepuscolare,Assente,,SI,SI,"4,5",2788982.22710999990,4473408.71655999960
18.1683490747322,40.3650887588649,228,25,734 689 041,Lecce,VIA,STRAFELLA GIANSERIO,,,,,Adeguato,SI,STB21,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,32,2789038.02391000000,4473177.19606000000
18.1675312561862,40.363750390307,229,25,734 690 147,Lecce,VIA,MARTINEZ GAETANO,angolo,VIA,BUFFELLI PLACIDO,,Adeguato,SI,SMHT 3K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,"4,5",2788973.89381999990,4473026.10991000010
18.1660285871627,40.3634554584579,230,25,734 112 470,Lecce,VIA,SAN NICOLA,,,,CIVICO 2,Adeguato,SI,STB26,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,40,2788847.44521000000,4472988.79126000030
18.1665781352558,40.3619817055846,231,25,891 095 601,Lecce,VIA,CARLUCCIO VITO,,,,,Adeguato,SI,STB36,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,53,2788899.98117000000,4472826.83559999990
18.166340915161,40.3577361336271,232,25,734 714 119,Lecce,VIA,DI VALESIO,,,,,Adeguato,SI,SMHT 6K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,9,2788896.72030999980,4472354.73666999950
18.1678532312557,40.3573291899558,233,25,734 959 278,Lecce,VIA,FRANCESCO CALASSO,angolo,VIA,CARLUCCIO VITO,,Adeguato,SI,STB16,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,25,2789026.79209000010,4472314.15718000010
18.1647631630382,40.3569276404096,234,25,732 219 439,Lecce,VIA,CERRATE CASALE,,,,,Adeguato,SI,STB26,NO,SI,Astronomico - Crepuscolare,Assente,,SI,SI,40,2788765.92390999990,4472260.17195999990
18.1730710752905,40.3660752140364,236,25,734 581 224,Lecce,VIA,ADIGE,angolo,VIA,ISONZO,,Adeguato,SI,STB45,NO,SI,Astronomico - Crepuscolare,Assente,,SI,SI,68,2789435.12324000010,4473301.10843999960
18.1747608747328,40.3648115856022,237,25,734 587 150,Lecce,VIA,MINCIO,angolo,VIA,ADDA,,Adeguato,NO,SMHM 3K,SI,SI,Astronomico - Crepuscolare,Assente,SI,,SI,"4,5",2789583.67317999990,4473165.96423000000
18.1743077100916,40.3634705121602,238,25,734 578 703,Lecce,VIA,VOLTURNO,,,,,Adeguato,SI,STB26,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,40,2789277.15307000000,4472979.73333999980
18.1743200338023,40.3634542057348,239,25,734 578 711,Lecce,VIA,VOLTURNO,,,,,Adeguato,SI,STB36,NO,SI,Astronomico - Crepuscolare,Assente,,SI,SI,53,2789282.22550999980,4472975.02321999990
18.1752842799342,40.3639385736719,240,25,734 589 306,Lecce,VIA,BASENTO,,,,,Adeguato,SI,SMHT 3K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,"4,5",2789436.93483000020,4472937.34226000030
18.1711519956614,40.3631923694353,241,25,734 576 450,Lecce,VIA,PO,,,,,Adeguato,SI,STB36,NO,SI,Astronomico - Crepuscolare,Assente,,SI,SI,53,2789552.51391999980,4473014.87808000020
18.1710849617622,40.363231421728,242,25,734 576 468,Lecce,VIA,PO,angolo,VIA,UNGARO GIOCCHINO,,Adeguato,SI,SMHT 10K,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,16,2789559.39794000010,4473014.51575999990
18.1763859462911,40.3625348297658,243,25,734 594 300,Lecce,VIA,GIAMMATTEO,,,,CIVICO 10,Adeguato,SI,STB11,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,17,2789730.77383999990,4472918.13946999980
18.1696786382514,40.3615997272807,244,25,734 570 478,Lecce,VIA,BRENTA,angolo,VIA,ADRIATICA,,Adeguato,SI,STB36,SI,SI,Astronomico - Crepuscolare,Assente,,SI,SI,53,2789164.83483000010,4472793.86476999990
