X,Y,LINEA,QUADRO,RECNO,PALO,ARMATURA,LAMPADA,indirizzo,Data_Attiv
18.196383025980278,40.462183310117069,C,50,21,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Dell'Anice,
18.196722833232677,40.462001704070857,C,50,22,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Dell'Anice,
18.196906974801486,40.461887024693723,C,50,23,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Dell'Anice,
18.197121633055893,40.461767586534805,C,50,24,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Dell'Anice,
18.197301398111673,40.461668682255684,C,50,25,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Dell'Anice,
18.197820700461332,40.461378955495107,C,50,27,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Dell'Anice,
18.195103171161385,40.46274706913723,C,50,28,Palo Verniciato Tipo Liguria,M 250 / R,Sodio AP 150,Via Zefiro,
18.195098080074985,40.462531680852258,C,50,29,Palo Verniciato Tipo Liguria,M 250 / R,Sodio AP 150,Via Zefiro,
18.197501631091946,40.461569210978553,C,50,26,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Dell'Anice,
18.195090605782347,40.462266039139521,C,50,30,Palo Verniciato Tipo Liguria,M 250 / R,Sodio AP 150,Via Zefiro,
18.194824439840751,40.462163821081255,C,50,31,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Della Gaggia,
18.194461120408587,40.462173871825868,C,50,32,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Della Gaggia,
18.193976484837002,40.462193903814949,C,50,33,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Della Gaggia,
18.193683566088467,40.462200804652305,C,50,34,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Della Gaggia,
18.195234852670328,40.462066366113675,C,50,35,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Del Ginepro,
18.195578111330029,40.461849445164916,C,50,36,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 100,Via Del Ginepro,
18.19592796813674,40.461663649723505,C,50,37,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Del Ginepro,
18.196176964039033,40.461511953907589,C,50,38,Palo Rastremato Zincato 11,AEC,Sodio AP 250,Via Del Ginepro,
18.196464189410502,40.461376958706133,C,50,39,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Del Ginepro,
18.196785093534515,40.461195875727448,C,50,40,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Del Ginepro,
18.197221215617109,40.460950792687527,C,50,41,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Del Ginepro,
18.195057717961497,40.46200473520426,C,50,42,Palo Verniciato Tipo Liguria,M 250 / R,Vapori Di Mercurio BF 250,Via Zefiro,
18.195050230809322,40.461738814848168,C,50,43,Palo Verniciato Tipo Liguria,M 250 / R,Sodio AP 150,Via Zefiro,
18.194787000689676,40.461374301561854,C,50,44,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Dell'Aro,
18.194464708085285,40.461385026160706,C,50,45,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Dell'Aro,
18.19403003799675,40.461403067571766,C,50,46,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Dell'Aro,
18.193625785399274,40.461414247772375,C,50,47,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Dell'Aro,
18.19313454143164,40.461427831939467,C,50,48,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Dell'Aro,
18.19264342553959,40.461444123811624,C,50,49,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Dell'Aro,
18.195335572489363,40.461322996928573,C,50,50,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Trani,
18.195667737755016,40.46114642352785,C,50,51,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Trani,
18.195040817463031,40.461324229454497,C,50,52,Palo Verniciato Tipo Liguria,M 250 / R,Sodio AP 150,Via Zefiro,
18.195029621250097,40.461104470928035,C,50,53,Palo Verniciato Tipo Liguria,M 250 / R,Sodio AP 150,Via Zefiro,
18.19501942912353,40.460881379564157,C,50,54,Palo Verniciato Tipo Liguria,M 250 / R,Sodio AP 150,Via Zefiro,
18.195173109553171,40.464945972551035,A,50,1,Palo Verniciato Tipo Liguria,M 250 / R,Sodio AP 150,Via Zefiro,
18.195181730831905,40.465315361212298,A,50,2,Palo Conico Zincato 10,Oyster 2 VP,Sodio AP 100,Via Zefiro,
18.195017541284816,40.465394229324524,A,50,3,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Dell'Impia,
18.194553793394597,40.465414192749286,A,50,4,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Dell'Impia,
18.195379810506083,40.465483383185656,A,50,6,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Delle Rose,
18.195748048803416,40.46528308722926,A,50,7,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Delle Rose,
18.196098248881732,40.465087077188983,A,50,8,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Delle Rose,
18.19411141750782,40.465426429511055,A,50,5,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Dell'Impia,
18.196483927837559,40.464877681907268,A,50,9,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Delle Rose,
18.196819943078676,40.464689875570308,A,50,10,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Delle Rose,
18.197103841899445,40.464528590210577,A,50,11,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Delle Rose,
18.195195344449182,40.465602374125169,A,50,12,Palo Verniciato Tipo Liguria,M 250 / R,Sodio AP 150,Via Zefiro,
18.19518393211818,40.465872360946676,A,50,13,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Zefiro,
18.195131961565021,40.466099341962661,A,50,14,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Zefiro,
18.194925809120985,40.466604047643571,A,50,16,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Zefiro,
18.195066125815845,40.466606183830656,A,50,17,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Dei Gerani,
18.195326242831261,40.466457911717725,A,50,18,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Dei Gerani,
18.195017706981808,40.466375962039322,A,50,15,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Zefiro,
18.195623262596516,40.466306387281413,A,50,19,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Dei Gerani,
18.195927004988526,40.466130497124027,A,50,20,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Dei Gerani,
18.196254541688905,40.465945698664484,A,50,21,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Dei Gerani,
18.196667229542289,40.465713635561329,A,50,22,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Dei Gerani,
18.196567532651422,40.465912519663519,A,50,23,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Del Pandano,
18.196524237553003,40.466217710854259,A,50,24,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Del Pandano,
18.194649478855137,40.466754997944825,A,50,25,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Del Tiglio,
18.194277064570947,40.466618206657991,A,50,26,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Del Tiglio,
18.193973783488669,40.466450083385389,A,50,27,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Del Tiglio,
18.194158551501321,40.466420457279227,A,50,28,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Del Timo,
18.194050539970089,40.466173386196942,A,50,29,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Del Timo,
18.194775964489583,40.4668808734965,A,50,31,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Zefiro,
18.194637626146402,40.467181896392766,A,50,32,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Zefiro,
18.194031501149468,40.465771857705448,A,50,30,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Del Timo,
18.194464376621998,40.467319073064537,A,50,33,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 250,Viale Eolo,
18.194171631074386,40.467508585944913,A,50,34,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 250,Viale Eolo,
18.193875675525732,40.467529717443277,A,50,35,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Viale Eolo,
